phase,epoch,step,loss,steps_per_sec,lr
train,0,100,0.14047202467918396,4.508737733620529,1e-05
val,0,153,0.13006945533884895,,1.53e-05
train,1,200,0.13103310763835907,6.113467854956667,2e-05
train,1,300,0.09149451553821564,6.705040034212729,3e-05
train,2,400,0.05769240856170654,6.687016426165161,4e-05
train,3,500,0.045353002846241,6.693381013221454,5e-05
train,3,600,0.037770453840494156,6.675505260844766,6e-05
train,4,700,0.03264183923602104,6.675914116531079,7e-05
train,5,800,0.027449700981378555,6.670200312557499,8e-05
train,5,900,0.022712111473083496,6.664509517799688,9e-05
val,5,918,0.020198763555122748,,9.180000000000001e-05
train,6,1000,0.019576339051127434,6.116425701481233,0.0001
train,7,1100,0.015197965316474438,6.6431370312999904,0.0001
train,7,1200,0.012131753377616405,6.664521589880068,0.0001
train,8,1300,0.010084672830998898,6.667941867137677,0.0001
train,9,1400,0.008366325870156288,6.662237780365531,0.0001
train,9,1500,0.006902238354086876,6.6644418514219055,0.0001
train,10,1600,0.005958140827715397,6.667674746866102,0.0001
val,10,1683,0.0039736469043418765,,0.0001
train,11,1700,0.004638717044144869,6.116702036890607,0.0001
train,11,1800,0.004270332865417004,6.6749968111455775,0.0001
train,12,1900,0.003245412604883313,6.679958087177041,0.0001
train,13,2000,0.0028077096212655306,6.67047187861957,0.0001
train,13,2100,0.002685196464881301,6.667695310126624,0.0001
train,14,2200,0.0033912784419953823,6.6693647491390715,0.0001
train,15,2300,0.0022870611865073442,6.6721594783150335,0.0001
train,15,2400,0.002011439297348261,6.685148151766218,0.0001
val,15,2448,0.0031892771755034723,,0.0001
train,16,2500,0.002462285105139017,6.128003546913064,0.0001
train,16,2600,0.00196179561316967,6.690489399349736,0.0001
train,17,2700,0.0014916652580723166,6.674191587862865,0.0001
train,18,2800,0.0014091673074290156,6.683049946505218,0.0001
train,18,2900,0.0013007206143811345,6.678311519760327,0.0001
train,19,3000,0.001578500960022211,6.6765668168848995,0.0001
train,20,3100,0.0012278776848688722,6.684424847569026,0.0001
train,20,3200,0.0015428131446242332,6.684453290954995,0.0001
val,20,3213,0.001179174739970929,,0.0001
train,21,3300,0.001140149193815887,6.123360001207648,0.0001
train,22,3400,0.0012055754195898771,6.677795306560234,0.0001
train,22,3500,0.001022615353576839,6.677878767137671,0.0001
train,23,3600,0.0026123053394258022,6.6864209462318405,0.0001
train,24,3700,0.0018459947314113379,6.6817893987951695,0.0001
train,24,3800,0.0010521598160266876,6.675143516324047,0.0001
train,25,3900,0.0010781590826809406,6.6756157574430866,0.0001
val,25,3978,0.0012407746657522188,,0.0001
train,26,4000,0.0010212925262749195,6.215299960658551,0.0001
train,26,4100,0.0010640628170222044,6.679676280546773,0.0001
train,27,4200,0.0009663866367191076,6.679279195897277,0.0001
train,28,4300,0.0012437831610441208,6.680349932587349,0.0001
train,28,4400,0.0010026636300608516,6.67121275113868,0.0001
train,29,4500,0.0010299542918801308,6.688004116220795,0.0001
train,30,4600,0.0010533938184380531,6.665133934692269,0.0001
train,30,4700,0.0011055371724069118,6.673022814404151,0.0001
val,30,4743,0.0010177820319465052,,0.0001
train,31,4800,0.0009974432177841663,6.1195685488705145,0.0001
train,32,4900,0.0008825514814816415,6.669803187006168,0.0001
train,32,5000,0.0009815042139962316,6.685740634157906,0.0001
train,33,5100,0.0009609952685423195,6.672289925077715,0.0001
train,33,5200,0.0008674915297888219,6.684783869858062,0.0001
train,34,5300,0.0012380614643916488,6.660581320526041,0.0001
train,35,5400,0.0010188182350248098,6.6780566461319895,0.0001
train,35,5500,0.0010377971921116114,6.675146278395047,0.0001
val,35,5508,0.0009905210608849302,,0.0001
train,36,5600,0.0009457781561650336,6.126100330509392,0.0001
train,37,5700,0.0009619673364795744,6.673662525668031,0.0001
train,37,5800,0.0009272735333070159,6.6719542127776,0.0001
train,38,5900,0.0008817840716801584,6.6734981532901845,0.0001
train,39,6000,0.0018636347958818078,6.6728443541885065,0.0001
